"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG6329",2.03520498726476e-95,0.531626782348338,0.619,0.265,2.60465534270144e-91,"Undifferentiated - 4","CG6329"
"Ptpmeg2",2.36096524506038e-95,0.692109563342682,0.251,0.058,3.02156332062828e-91,"Undifferentiated - 4","Ptpmeg2"
"CG14478",3.19097762320559e-95,0.568813920592859,0.322,0.094,4.08381316217851e-91,"Undifferentiated - 4","CG14478"
"Gs2",4.98617963294215e-95,-1.79784229282844,0.249,0.398,6.38131269423936e-91,"Undifferentiated - 4","Gs2"
"lncRNA:CR31451",1.48135290256143e-94,0.471786628719386,0.438,0.155,1.89583544469812e-90,"Undifferentiated - 4","lncRNA:CR31451"
"cindr",2.56319630176301e-94,0.594466331763118,0.279,0.073,3.2803786269963e-90,"Undifferentiated - 4","cindr"
"kek1",3.73245091219046e-94,0.832749685961588,0.232,0.049,4.77679067742135e-90,"Undifferentiated - 4","kek1"
"bsk",6.40403089511163e-94,0.747684406917815,0.232,0.049,8.19587873956387e-90,"Undifferentiated - 4","bsk"
"Hsp23",3.46568059416656e-93,0.54352375749484,0.426,0.152,4.43537802441437e-89,"Undifferentiated - 4","Hsp23"
"feo",5.8833839003811e-92,0.910701301806835,0.195,0.033,7.52955471570773e-88,"Undifferentiated - 4","feo"
"CG43795",1.19538689545419e-91,1.47693224868194,0.131,0.006,1.52985614880227e-87,"Undifferentiated - 4","CG43795"
"CG13364",2.1136724943726e-91,0.463346255686761,0.374,0.124,2.70507805829806e-87,"Undifferentiated - 4","CG13364"
"Gdi",2.30380021245281e-91,0.440501878595473,0.416,0.146,2.94840351189711e-87,"Undifferentiated - 4","Gdi"
"ATPsynF",9.94007890470114e-91,0.472148452466387,0.457,0.169,1.27213129822365e-86,"Undifferentiated - 4","ATPsynF"
"Ten-a",1.85627316333708e-90,0.505855770745344,0.617,0.267,2.3756583944388e-86,"Undifferentiated - 4","Ten-a"
"Sar1",2.50726307093092e-90,0.657150784377356,0.252,0.062,3.20879527817739e-86,"Undifferentiated - 4","Sar1"
"AGO2",3.83649966376218e-90,0.926325153061005,0.182,0.029,4.90995226968284e-86,"Undifferentiated - 4","AGO2"
"osa",2.32831887262171e-89,0.41757513158053,0.354,0.114,2.97978249318126e-85,"Undifferentiated - 4","osa"
"Tsp66E",2.43085014393176e-89,0.872987562138727,0.195,0.035,3.11100201420386e-85,"Undifferentiated - 4","Tsp66E"
"RpS6",2.66203669719889e-89,0.412607580935795,0.522,0.205,3.40687456507514e-85,"Undifferentiated - 4","RpS6"
"RpL32",3.16339780157802e-89,0.481793214803176,0.829,0.43,4.04851650645955e-85,"Undifferentiated - 4","RpL32"
"ND-B12",3.92373478402249e-89,0.60801223524545,0.265,0.069,5.02159577659199e-85,"Undifferentiated - 4","ND-B12"
"Eno",5.64905221226536e-89,0.469214015854878,0.711,0.325,7.22965702125721e-85,"Undifferentiated - 4","Eno"
"lncRNA:CR45388",6.61168221086561e-89,0.970089987848024,0.365,0.133,8.46163089346581e-85,"Undifferentiated - 4","lncRNA:CR45388"
"FucTA",9.87808269418796e-89,0.921789586739068,0.173,0.025,1.26419702320218e-84,"Undifferentiated - 4","FucTA"
"CG34155",1.69230817414463e-88,1.39013136302168,0.14,0.011,2.1658160012703e-84,"Undifferentiated - 4","CG34155"
"SmF",5.21222707518341e-87,0.605966076338475,0.259,0.068,6.67060821081972e-83,"Undifferentiated - 4","SmF"
"CG31475",7.82321783298148e-87,1.33628424057729,0.14,0.012,1.00121541826497e-82,"Undifferentiated - 4","CG31475"
"CG9705",1.53029947649659e-86,0.404417647661259,0.421,0.153,1.95847727002033e-82,"Undifferentiated - 4","CG9705"
"CG32369",2.89131096759583e-86,0.818046073635514,0.199,0.039,3.70029977632915e-82,"Undifferentiated - 4","CG32369"
"Sxl",3.09617287066384e-86,0.454643069599057,0.366,0.123,3.96248203987559e-82,"Undifferentiated - 4","Sxl"
"sdt",3.25949877087127e-86,0.582742699474608,0.284,0.081,4.17150652696106e-82,"Undifferentiated - 4","sdt"
"RpL34b",4.24883762304274e-86,0.414807448196529,0.609,0.256,5.4376623899701e-82,"Undifferentiated - 4","RpL34b"
"ND-B14",7.83733148008819e-86,0.749783928774429,0.214,0.046,1.00302168282169e-81,"Undifferentiated - 4","ND-B14"
"Pglym78",1.86958348510424e-85,0.398757529519625,0.405,0.145,2.39269294423641e-81,"Undifferentiated - 4","Pglym78"
"RhoGAP71E",1.9041282731012e-85,0.616393680018611,0.248,0.063,2.43690336391491e-81,"Undifferentiated - 4","RhoGAP71E"
"svp",6.04826735705561e-85,1.23806202635529,0.203,0.043,7.74057256355977e-81,"Undifferentiated - 4","svp"
"cpo",7.05402917054755e-85,0.599492503359719,0.473,0.195,9.02774653246676e-81,"Undifferentiated - 4","cpo"
"dco",3.27553910877879e-84,0.498563678458209,0.264,0.072,4.1920349514151e-80,"Undifferentiated - 4","dco"
"bun",5.00770422615268e-84,0.367271578799647,0.636,0.279,6.40885986863021e-80,"Undifferentiated - 4","bun"
"PAN3",9.69630666462232e-84,0.338241881028579,0.415,0.151,1.24093332693836e-79,"Undifferentiated - 4","PAN3"
"CG11768",1.02719381144947e-83,1.10418414268775,0.142,0.014,1.31460263989303e-79,"Undifferentiated - 4","CG11768"
"CG43222",2.98016866623421e-83,0.648444585610756,0.235,0.058,3.81401985904654e-79,"Undifferentiated - 4","CG43222"
"wcy",4.29420147684285e-83,0.729103575152418,0.194,0.038,5.49571905006347e-79,"Undifferentiated - 4","wcy"
"CG46448",4.69926549310997e-83,1.53538136517051,0.169,0.028,6.01411997808214e-79,"Undifferentiated - 4","CG46448"
"CG42806",1.1949024307533e-82,0.923154302938803,0.165,0.025,1.52923613087808e-78,"Undifferentiated - 4","CG42806"
"Pen",2.15583912959178e-82,0.581762495019972,0.376,0.137,2.75904291805156e-78,"Undifferentiated - 4","Pen"
"7B2",3.06788716484278e-82,0.557073695703149,0.267,0.075,3.92628199356579e-78,"Undifferentiated - 4","7B2"
"Roc2",7.28115353891729e-82,0.76658644988015,0.18,0.032,9.31842029910635e-78,"Undifferentiated - 4","Roc2"
"Hmx",1.64060751810925e-81,1.44179263708611,0.146,0.018,2.09964950167622e-77,"Undifferentiated - 4","Hmx"
"disco-r",2.00737483150525e-81,1.11866316435647,0.17,0.029,2.56903830936042e-77,"Undifferentiated - 4","disco-r"
"CG1161",2.23048854563405e-81,0.764064819483617,0.188,0.037,2.85457924070246e-77,"Undifferentiated - 4","CG1161"
"nkd",3.69097106246155e-81,0.531950580222772,0.297,0.093,4.72370476573829e-77,"Undifferentiated - 4","nkd"
"RpS17",1.25601669233361e-80,0.407392496823718,0.761,0.364,1.60745016284856e-76,"Undifferentiated - 4","RpS17"
"eys",1.53081653826806e-80,0.877104166302542,0.187,0.037,1.95913900567546e-76,"Undifferentiated - 4","eys"
"ATPsynG",4.61450894036087e-80,0.355022578042674,0.443,0.17,5.90564854187384e-76,"Undifferentiated - 4","ATPsynG"
"Rdh",7.95099649463839e-80,0.873249157633606,0.155,0.022,1.01756853138382e-75,"Undifferentiated - 4","Rdh"
"Snap24",1.01594385052685e-79,0.845231518578741,0.168,0.028,1.30020493990426e-75,"Undifferentiated - 4","Snap24"
"Pfk",1.81181834978598e-79,0.484752786754499,0.274,0.081,2.31876512405609e-75,"Undifferentiated - 4","Pfk"
"CG13887",3.11761384736178e-79,0.650797922534241,0.226,0.057,3.98992220185361e-75,"Undifferentiated - 4","CG13887"
"Optix",4.70271451285216e-79,1.32875407130155,0.14,0.016,6.0185340335482e-75,"Undifferentiated - 4","Optix"
"CG31650",7.3906610547825e-79,0.814262805413156,0.16,0.025,9.45856801791064e-75,"Undifferentiated - 4","CG31650"
"na",1.10045527453067e-78,1.00184847188228,0.131,0.012,1.40836266034436e-74,"Undifferentiated - 4","na"
"para",3.78342995256135e-78,0.356529224750836,0.54,0.228,4.84203365328802e-74,"Undifferentiated - 4","para"
"CG15771",2.39984420125352e-77,0.842935679859683,0.153,0.023,3.07132060876426e-73,"Undifferentiated - 4","CG15771"
"tsr",3.44457660031407e-77,0.341818579379488,0.654,0.297,4.40836913308195e-73,"Undifferentiated - 4","tsr"
"ND-B22",3.98618800508982e-77,0.515456257879378,0.243,0.067,5.10152340891396e-73,"Undifferentiated - 4","ND-B22"
"CG34200",3.48886401575492e-76,0.484402293439903,0.251,0.072,4.46504816736315e-72,"Undifferentiated - 4","CG34200"
