"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"amon",1.75095242908968e-48,-0.44782752595613,0.11,0.353,3.50190485817937e-45
"Blos3",1.79261966987551e-48,-0.333645989054403,0.172,0.396,3.58523933975103e-45
"hzg",2.85572645449257e-48,-0.46179153380388,0.241,0.477,5.71145290898514e-45
"rdx",6.59127400874666e-48,-0.520124499182739,0.204,0.449,1.31825480174933e-44
"Dop1R2",7.31982294878191e-48,-0.111561101218447,0.11,0.343,1.46396458975638e-44
"Hel89B",5.71381089952604e-47,-0.123963600385009,0.144,0.372,1.14276217990521e-43
"mt:ND6",7.09814293963636e-47,0.377095115266753,0.222,0.437,1.41962858792727e-43
"CCAP-R",8.75236773888204e-47,-0.294871218748483,0.155,0.379,1.75047354777641e-43
"Upf1",1.38301183527017e-46,-0.130450406266276,0.178,0.395,2.76602367054034e-43
"cv-2",1.45716533278502e-46,-0.184927971772562,0.149,0.387,2.91433066557003e-43
"RapGAP1",2.23649214222932e-46,-0.142765872032509,0.263,0.507,4.47298428445865e-43
"lncRNA:CR40469",2.85784125786009e-46,-0.532993694838655,0.597,0.844,5.71568251572018e-43
"cpo",3.07564942444329e-46,-0.701564574423003,0.232,0.496,6.15129884888658e-43
"CG33639",3.55236849958756e-46,-0.143919881807239,0.135,0.362,7.10473699917511e-43
"Prosap",1.8668098646771e-45,-0.880959024758676,0.169,0.418,3.73361972935421e-42
"Rbfox1",2.65193363525046e-45,-0.563466698883471,0.848,0.956,5.30386727050091e-42
"Pdf",3.52974437757458e-45,0.281973788740944,0.126,0.357,7.05948875514916e-42
"Con",3.86157601302317e-45,-0.372312849472313,0.262,0.507,7.72315202604634e-42
"Svil",5.70949642235231e-45,-0.608174228168114,0.122,0.355,1.14189928447046e-41
"dpr17",8.77158169324573e-45,-0.699145229356632,0.168,0.403,1.75431633864915e-41
"CG4038",9.89329277640879e-45,-0.226814207399285,0.188,0.412,1.97865855528176e-41
"CG7011",1.09405870640374e-44,0.130457441791501,0.069,0.313,2.18811741280747e-41
"pont",1.75480075634134e-44,-0.175241874270264,0.092,0.324,3.50960151268268e-41
"bnb",1.93835549743093e-44,0.162949673855406,0.221,0.439,3.87671099486186e-41
"ara",3.23013442075152e-44,-1.18891063205302,0.181,0.404,6.46026884150305e-41
"VGlut",6.18040331946601e-44,-0.238944328073786,0.095,0.124,1.2360806638932e-40
"twz",9.71988395266603e-44,-0.194825171356508,0.122,0.156,1.94397679053321e-40
"disco",2.47962581459531e-43,-0.990658361723064,0.197,0.419,4.95925162919061e-40
"CCT5",2.96593035388527e-43,-0.179135303525494,0.135,0.372,5.93186070777054e-40
"sta",4.3252787877898e-43,-0.506831317155386,0.692,0.88,8.65055757557961e-40
"l(2)k01209",9.92818402814149e-43,-0.161318614776691,0.173,0.397,1.9856368056283e-39
"rost",1.55498194732958e-42,-0.154843013208093,0.126,0.361,3.10996389465916e-39
"nop5",2.58458133246378e-42,-0.283315378446428,0.151,0.381,5.16916266492756e-39
"Scr",3.61487985015033e-42,-0.151059823572939,0.147,0.392,7.22975970030066e-39
"Nna1",3.65766184318824e-42,-0.218796609903876,0.144,0.367,7.31532368637648e-39
"Kank",4.66748566643441e-42,-0.236707367748969,0.19,0.403,9.33497133286882e-39
"sprt",5.36749366648283e-42,0.696338535964656,0.179,0.183,1.07349873329657e-38
"ttk",5.4529153136758e-42,0.164019389768812,0.206,0.435,1.09058306273516e-38
"Mcad",6.92656224800416e-42,0.127000478060138,0.158,0.407,1.38531244960083e-38
"CG7888",9.00584954194229e-42,0.156088697968179,0.208,0.423,1.80116990838846e-38
"Tpc1",9.43630904786439e-42,-0.112920417037135,0.076,0.115,1.88726180957288e-38
"CG6845",1.96547034917152e-41,0.265408334713578,0.168,0.392,3.93094069834305e-38
"beat-Ia",3.22555831117702e-41,-0.531365672263987,0.162,0.389,6.45111662235404e-38
"jdp",4.05340708025957e-41,-0.272384157318046,0.222,0.448,8.10681416051914e-38
"CG46448",5.02446495307511e-41,-1.10054633097059,0.151,0.387,1.00489299061502e-37
"Pen",5.11706656182471e-41,-0.301553024106705,0.317,0.579,1.02341331236494e-37
"salm",7.65132365747303e-41,0.343352779047911,0.281,0.5,1.53026473149461e-37
"Gfrl",7.15663601137531e-40,-0.270089193582988,0.135,0.363,1.43132720227506e-36
"CG45263",7.15678665499122e-40,-0.700368204634085,0.18,0.4,1.43135733099824e-36
"CG9932",1.3995604221985e-39,-0.648841683261708,0.129,0.161,2.79912084439701e-36
"toy",1.7738562804598e-39,-0.656084360108457,0.121,0.355,3.5477125609196e-36
"RpL28",3.57540646961377e-39,0.404839347828419,0.896,0.892,7.15081293922753e-36
"Scp2",8.26306902335651e-39,-0.151880780413937,0.195,0.412,1.6526138046713e-35
"Picot",9.61262760530696e-39,-0.167101194816772,0.165,0.386,1.92252552106139e-35
"RpS6",1.12460067479804e-38,-0.462258662220157,0.466,0.697,2.24920134959607e-35
"Men",1.2245171350144e-38,-0.221670097392061,0.14,0.356,2.4490342700288e-35
"CG43313",1.88206415120671e-38,0.236472930481819,0.191,0.402,3.76412830241341e-35
"CG10932",2.02817955403831e-38,-0.124764893863024,0.142,0.367,4.05635910807663e-35
"retn",3.84158110764669e-38,0.163670840807265,0.053,0.25,7.68316221529338e-35
"dpa",4.90708800617164e-38,-0.224402401619578,0.193,0.406,9.81417601234329e-35
"lncRNA:CR44272",5.26982036057302e-38,2.65719744286129,0.427,0.425,1.0539640721146e-34
"CG6218",1.15957513331554e-37,-0.159029848340018,0.175,0.395,2.31915026663108e-34
"dpr1",1.30451649185049e-37,-0.556458497527625,0.151,0.37,2.60903298370097e-34
"CG2269",1.7403212981022e-37,-0.591096304861854,0.188,0.402,3.4806425962044e-34
"CG1764",1.87911818097833e-37,0.134770504823139,0.13,0.35,3.75823636195665e-34
"CG5721",2.39950506733584e-37,-0.105658658120681,0.064,0.298,4.79901013467167e-34
"FBti0062662",2.49265321752272e-37,-0.147907349043954,0.031,0.103,4.98530643504545e-34
"h",3.03916061593206e-37,-0.139457446525227,0.142,0.356,6.07832123186413e-34
"CARPB",6.00703193922515e-37,-0.215511179436126,0.099,0.33,1.20140638784503e-33
"Gbs-76A",6.69058811566017e-37,-0.225952982064788,0.139,0.358,1.33811762313204e-33
"CG12343",1.49062724290956e-36,0.114726846078159,0.164,0.374,2.98125448581912e-33
"dpr13",1.55178514196377e-36,-0.480360284913286,0.191,0.398,3.10357028392753e-33
"RhoGEF2",2.12954145383658e-36,0.177696345454296,0.18,0.403,4.25908290767316e-33
"Fdh",3.06651435456458e-36,-0.154427714206829,0.109,0.338,6.13302870912917e-33
"Klp68D",7.11940988672416e-36,-0.169326353436355,0.126,0.343,1.42388197734483e-32
"lncRNA:CR45312",8.94338582172404e-36,-0.317749282654335,0.13,0.351,1.78867716434481e-32
"CG43689",1.26421704413381e-35,-1.38220853899846,0.172,0.388,2.52843408826761e-32
"CG4409",1.47904410392518e-35,0.195871344912414,0.095,0.125,2.95808820785036e-32
"Ilp5",1.85077167088563e-35,-0.26591314396653,0.213,0.437,3.70154334177126e-32
"jigr1",2.65842268255965e-35,-0.158204548419461,0.27,0.491,5.3168453651193e-32
"Tomosyn",3.57177245731712e-35,-0.241161301555895,0.13,0.164,7.14354491463423e-32
"Tsp42Ee",6.16463146768272e-35,0.112790226457383,0.14,0.37,1.23292629353654e-31
"SCCRO",1.32789584366143e-34,0.183907644438173,0.175,0.386,2.65579168732286e-31
"Dgp-1",1.46242714218184e-34,-0.130804301930728,0.116,0.343,2.92485428436368e-31
"esg",1.73956317458096e-34,0.52759208436713,0.212,0.424,3.47912634916192e-31
"euc",2.53563322903713e-34,0.313790634060721,0.115,0.138,5.07126645807426e-31
"Nph",2.84875275013891e-34,-0.223376135670024,0.386,0.615,5.69750550027782e-31
"TyrR",3.30200670695085e-34,-0.380577350012477,0.179,0.38,6.60401341390169e-31
"E(spl)mgamma-HLH",4.11013589438473e-34,-0.392446901370442,0.224,0.446,8.22027178876947e-31
"vvl",5.28368223559601e-34,-0.228053381657205,0.369,0.595,1.0567364471192e-30
"prim",8.1052542473239e-34,-0.219978560415,0.12,0.337,1.62105084946478e-30
"Osi9",9.29619616100969e-34,0.190057810164441,0.215,0.421,1.85923923220194e-30
"fred",1.16021807679114e-33,-0.173087755638512,0.076,0.303,2.32043615358229e-30
"mid",1.41424579981307e-33,0.522043208227417,0.157,0.372,2.82849159962614e-30
"cl",1.49253225766091e-33,-0.412881247736715,0.247,0.462,2.98506451532182e-30
"Hsc70-4",2.93842493282653e-33,-0.124313577234855,0.345,0.581,5.87684986565305e-30
"cas",2.95152918833952e-33,0.764598320255288,0.209,0.227,5.90305837667905e-30
"hig",3.212900135459e-33,0.116830748058426,0.124,0.143,6.42580027091799e-30
"glob1",3.56628648213437e-33,-0.138529111055916,0.098,0.322,7.13257296426875e-30
"CG14441",1.13380738492984e-32,-0.20942681417102,0.122,0.163,2.26761476985967e-29
