"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ent2",0.000373074980982807,-0.193274119080462,0.263,0.272,0.746149961965613
"Nsun2",0.000378971070999714,-0.562843602919017,0.27,0.391,0.757942141999429
"CG32276",0.000389128175575813,0.253278973257245,0.365,0.456,0.778256351151626
"AstA",0.000414548748965497,0.103604319034812,0.25,0.316,0.829097497930995
"lncRNA:CR31044",0.000427519628435975,0.316127966272924,0.378,0.464,0.85503925687195
"kn",0.00048446737513779,0.452920345136463,0.299,0.34,0.96893475027558
"br",0.000506922544133654,0.977366139437525,0.6,0.671,1
"VepD",0.000528131604528816,0.358137975540755,0.253,0.306,1
"Claspin",0.000533036667136365,0.237258541839661,0.359,0.46,1
"Liprin-gamma",0.000545348080882908,1.07614611965441,0.617,0.68,1
"akirin",0.000567292588617156,0.273320112676661,0.46,0.609,1
"CNBP",0.000634363044669382,0.259939199470142,0.975,0.998,1
"RpL9",0.000645247364901029,0.414485043879695,0.846,0.969,1
"RpL7",0.000738133970558973,0.318235130685062,0.929,0.996,1
"beat-Ic",0.000788853304650577,0.144392151238709,0.313,0.325,1
"Psi",0.000993475048671622,0.581265496942778,0.434,0.449,1
"Idi",0.00100505518430905,-0.244290179834817,0.265,0.335,1
"CG9336",0.00100939070248363,0.239242684914783,0.288,0.308,1
"dally",0.00106893271695751,0.776436956165933,0.59,0.727,1
"GstS1",0.00107836422489501,0.36151094236823,0.316,0.364,1
"Adf1",0.00111115798866212,0.515121874374287,0.397,0.491,1
"CG40472",0.00113056857054651,-0.352128759643803,0.133,0.234,1
"fj",0.00113562147482767,0.235642258434436,0.319,0.327,1
"TBCD",0.00120633361044236,-0.112351099115032,0.252,0.295,1
"RpL11",0.00123692588693021,0.337374296125945,0.933,0.996,1
"CG3168",0.00129490083303259,0.156073709815521,0.338,0.341,1
"Fas2",0.001303516211329,1.09038427755185,0.764,0.887,1
"Atx2",0.00130366613440914,0.343060991518628,0.427,0.576,1
"trv",0.00131034212033225,1.14082066497427,0.616,0.687,1
"CG3337",0.00135905247072268,-0.174817236068744,0.308,0.362,1
"CG43689",0.00147373371145167,0.240919801940269,0.339,0.333,1
"zfh1",0.00151334795688354,0.156131047364968,0.295,0.341,1
"CG8289",0.0015448470341141,0.487731667360588,0.365,0.431,1
"mael",0.00157408186708122,-0.10797952774905,0.31,0.251,1
"VhaM9.7-b",0.00161683166086558,-0.124491629652473,0.339,0.334,1
"Dd",0.00167059403890705,0.157456326800419,0.42,0.515,1
"eIF2beta",0.00175164868870087,0.362251993671813,0.845,0.982,1
"CG30172",0.00184139686190581,0.531263913238439,0.399,0.434,1
"hbs",0.00200668293388029,0.707378905788703,0.269,0.31,1
"CG16935",0.00234103656477811,-0.153284344719587,0.152,0.209,1
"CG9993",0.00237291917596933,-0.756902503930928,0.276,0.279,1
"mspo",0.00254222960419658,0.833008808277812,0.517,0.593,1
"arm",0.00264311922301431,0.629662880241034,0.39,0.48,1
"Dhx15",0.00296992809977804,-0.165924698574249,0.133,0.165,1
"Cow",0.00326119039143149,0.118082638242208,0.297,0.327,1
"jeb",0.00328562098631487,0.55907257632543,0.445,0.505,1
"RpS3",0.00353819511427635,0.272132711940597,0.887,0.991,1
"sm",0.00358831109852173,1.03228202698497,0.576,0.613,1
"CG42232",0.00386385886535103,-0.322062203545891,0.307,0.391,1
"RpS23",0.0040295300733094,0.211846202602129,0.922,0.995,1
"cu",0.00410527942892056,0.352032826218694,0.312,0.304,1
"RpL23A",0.00413254164076574,0.397341703477561,0.882,0.979,1
"Spx",0.00425535924404923,-0.132205786825373,0.315,0.394,1
"sta",0.0043098782036736,0.294895621057729,0.958,0.994,1
"dsd",0.00447378169563709,0.680916778533441,0.487,0.618,1
"AnxB11",0.00499488980695497,0.171864543711339,0.325,0.325,1
"erm",0.00558604867011369,0.514487502002038,0.236,0.266,1
"CG43340",0.00628058078722995,-0.17386239728934,0.217,0.275,1
"RpS3A",0.00629855954447509,0.287425502792236,0.91,0.993,1
"Mcm5",0.00633828228806425,-0.157490376615814,0.14,0.224,1
"RpS4",0.00648909993777234,0.147199436053971,0.978,0.999,1
"acj6",0.00739771855695615,0.218647941571806,0.151,0.176,1
"insb",0.0075559714745828,0.110369173229103,0.304,0.353,1
"RpL27",0.00803480809936374,0.248995474013368,0.924,0.997,1
"Nrg",0.00845239248367784,0.180131268211214,0.776,0.943,1
"pyd",0.00926312307361035,0.560978651829055,0.413,0.433,1
"RnrS",0.0100394505432768,0.220539224258645,0.301,0.326,1
"Alk",0.0100747261237975,0.941423327366667,0.509,0.57,1
"Smn",0.0102632608187572,-0.263811483814429,0.257,0.345,1
"fne",0.010382553151754,0.945343451635398,0.644,0.736,1
"ken",0.0104820750587411,0.609370438037178,0.457,0.565,1
"CG6044",0.0110398398759289,0.974798001092219,0.369,0.342,1
"RpL6",0.0115792796435845,0.28658232240698,0.891,0.987,1
"Mcm6",0.011798963344596,-0.351965264933546,0.295,0.376,1
"CG7339",0.0119427084959265,-0.14682230799402,0.204,0.213,1
"bowl",0.0120810588887538,0.107533511648056,0.337,0.372,1
"CG8778",0.012831469295906,-0.425325500835246,0.32,0.397,1
"Nxf3",0.0134530456308136,-0.218174481920926,0.171,0.225,1
"sog",0.0136138701425978,0.172390209059426,0.319,0.317,1
"Mcad",0.0146488700272684,-0.228755769412758,0.267,0.314,1
"CG7182",0.0153109246120401,-0.455430376858897,0.171,0.291,1
"CG6724",0.0157322144849492,-0.264915315400128,0.166,0.18,1
"trbl",0.016235024155586,0.315907251800705,0.262,0.259,1
"ced-6",0.0175718143117892,0.219686706545599,0.211,0.191,1
"CG17896",0.0179697352604603,0.277857561713505,0.3,0.354,1
"lncRNA:CR46004",0.0181172845947245,0.377225759684217,0.154,0.17,1
"RpS18",0.0181289024560642,0.374031232538292,0.926,0.997,1
"CG8545",0.0183398018173771,-0.452794821983593,0.331,0.406,1
"bnb",0.0186155754019091,0.199444396618699,0.305,0.358,1
"CG11791",0.0195133928444377,0.294207415089153,0.358,0.428,1
"Sirup",0.020308961641178,0.343210569139146,0.375,0.455,1
"CG3164",0.0211267201177306,0.180263752612673,0.288,0.283,1
"CG15209",0.0216526114008185,0.177391207546634,0.294,0.334,1
"robo2",0.0262910741952245,1.1094071213779,0.324,0.363,1
"kek3",0.0264364289763539,0.395228776211101,0.368,0.37,1
"Hil",0.027222116362594,0.38180883317142,0.335,0.356,1
"scro",0.0273153011282227,1.69552445665251,0.304,0.256,1
"Atxn7",0.0300732278637118,0.320310776392604,0.313,0.327,1
"lncRNA:CR44832",0.0305233606224272,0.428003221738354,0.314,0.333,1
"CG31705",0.0312030800326572,0.234687120718784,0.337,0.345,1
"CG9331",0.0314146728032007,0.103941740166862,0.324,0.319,1
"sky",0.0322911430842226,0.326607545241984,0.316,0.367,1
"Msp300",0.0326041332454275,0.795362282025616,0.564,0.664,1
"GstE12",0.0329212937733897,0.423797068976692,0.317,0.366,1
"RpL35A",0.0349100298874209,0.174980083786309,0.845,0.986,1
"cv-c",0.0368091727889292,0.335192320290384,0.175,0.201,1
"CG5590",0.0426779640660991,-0.29618152685145,0.123,0.2,1
"Idh",0.0428202889301348,0.404133824028037,0.334,0.388,1
"pbl",0.0459829994944549,0.615482283963666,0.454,0.494,1
"Ldh",0.0476962269215345,0.322994784540528,0.743,0.887,1
"CG13018",0.0505432991786467,-0.335779175629223,0.208,0.257,1
"jus",0.0517609662536097,0.108433282325477,0.328,0.316,1
"RpS30",0.0517909184369931,0.142503607161538,0.929,0.997,1
"RpS15Aa",0.0518504826348187,0.350339167524512,0.84,0.955,1
"fd59A",0.0530912245935364,0.12472337916352,0.318,0.326,1
"RpL24",0.053288002730812,0.178035941940967,0.884,0.989,1
"Obp99a",0.0610187510829417,0.775866480202707,0.549,0.653,1
"CG10803",0.0612994832368502,-0.135146463210404,0.191,0.215,1
"Trim9",0.0624106873046531,0.899542186498376,0.468,0.514,1
"pan",0.0624566733516202,0.69858110565993,0.356,0.371,1
"lncRNA:CR45312",0.0652641051377541,0.112913662936281,0.313,0.308,1
"RpL8",0.068983999317848,0.42462843821836,0.956,0.996,1
