"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"bnb",0.0753697841134719,0.554489654607077,0.296,0.358,1
"CG5787",0.0761243118655264,-0.266494888639316,0.172,0.266,1
"Osi9",0.0764574728102734,0.370783172660834,0.319,0.35,1
"RpL13A",0.0840914083476985,0.117747304395581,0.882,0.997,1
"CG32532",0.0842024263203151,0.733205536007395,0.29,0.333,1
"RpL37a",0.0874107669710925,0.264600076576186,0.884,0.996,1
"Akr1B",0.0913173177208486,-0.14033775175749,0.293,0.337,1
"CG14036",0.105604711309288,-0.272850118076786,0.133,0.181,1
"ham",0.106998898365065,0.181029275023608,0.229,0.239,1
"Ent2",0.111193094680039,-0.189359137004682,0.202,0.272,1
"AdenoK",0.12238979436386,-0.217406726308989,0.142,0.165,1
"RpS24",0.142103865447199,0.45656434518261,0.8,0.976,1
"Cbp53E",0.149182907180539,0.441636283486532,0.283,0.33,1
"spz4",0.159782273952174,0.124022135226118,0.201,0.28,1
"VGlut",0.170962478491128,0.215537179636988,0.153,0.156,1
"RpL15",0.189261108720885,0.251365113873933,0.881,0.997,1
"CG10184",0.193012371429608,0.132025142389993,0.231,0.271,1
"Traf4",0.193696475721166,1.22292224574974,0.305,0.321,1
"RpL7",0.213640718777588,0.284205699873652,0.831,0.996,1
"Hey",0.216954737188739,0.562628946193738,0.301,0.325,1
"edl",0.218486627297774,0.717103275746318,0.694,0.904,1
"VhaM9.7-b",0.21970481846245,-0.257906671780428,0.246,0.334,1
"salm",0.234749403488432,0.697563455653444,0.319,0.378,1
"CG18190",0.250524624188197,-0.565039278525739,0.242,0.33,1
"ttk",0.253513597166881,0.605066162835042,0.32,0.374,1
"cu",0.25721458478987,0.150074321902851,0.279,0.304,1
"retn",0.280347098642393,0.109517878699548,0.207,0.202,1
"trbl",0.289616306642348,0.305287514565865,0.214,0.259,1
"CG13018",0.292729606999334,-0.377051621833372,0.143,0.257,1
"Lmx1a",0.302428870276445,0.100197263188353,0.27,0.306,1
"CG5112",0.31221540404577,-0.405264068293462,0.168,0.229,1
"RpL10",0.327889820054371,0.304987380161479,0.914,0.999,1
"borr",0.345288083374537,-0.165469885836189,0.27,0.324,1
"RpS23",0.34851541869264,0.395949696660676,0.852,0.995,1
"sta",0.361540729477501,0.412842908014442,0.886,0.994,1
"Sod3",0.374258599868701,0.156417470902969,0.218,0.261,1
"DNApol-alpha180",0.403925701875272,-0.27779309309525,0.122,0.174,1
"zfh1",0.417414470203583,0.490252790334062,0.291,0.341,1
"erm",0.423227272640196,0.343259737568243,0.236,0.266,1
"RnrS",0.423945714624735,-0.513024296945767,0.247,0.326,1
