"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UQCR-14",3.18568783495251e-17,0.660869062808887,0.586,0.41,4.07704329117222e-13,"atlas_1h_alh","UQCR-14"
"CD98hc",3.73274288130125e-17,-1.1407665618112,0.208,0.377,4.77716433948935e-13,"atlas_1h_alh","CD98hc"
"Atpalpha",4.72900919256474e-17,0.543599195740188,0.786,0.668,6.05218596464435e-13,"atlas_1h_alh","Atpalpha"
"RpS6",5.0397664808825e-17,-0.832603483382412,0.313,0.491,6.44989314223342e-13,"atlas_1h_alh","RpS6"
"lncRNA:CR45388",6.50131816318888e-17,-1.73376773310311,0.016,0.153,8.32038698524914e-13,"atlas_1h_alh","lncRNA:CR45388"
"sbb",6.7011623297727e-17,-0.868004975905265,0.424,0.574,8.5761475496431e-13,"atlas_1h_alh","sbb"
"CG11752",6.9437172183667e-17,0.935441909166269,0.248,0.121,8.8865692960657e-13,"atlas_1h_alh","CG11752"
"Dg",1.33827029179528e-16,-1.44613427071807,0.026,0.167,1.7127183194396e-12,"atlas_1h_alh","Dg"
"for",1.59744572712533e-16,-1.19659318792377,0.075,0.236,2.044411041575e-12,"atlas_1h_alh","for"
"mRpL34",1.67902698773246e-16,0.809568537134452,0.285,0.146,2.1488187389e-12,"atlas_1h_alh","mRpL34"
"CG5793",2.2530537991877e-16,0.869219203587477,0.255,0.125,2.88345825220042e-12,"atlas_1h_alh","CG5793"
"Hsc70-4",3.55164030386002e-16,-1.11979576472884,0.145,0.313,4.54538926088006e-12,"atlas_1h_alh","Hsc70-4"
"Pdi",4.06708140668901e-16,-1.29606419591344,0.044,0.191,5.20505078428059e-12,"atlas_1h_alh","Pdi"
"CG15019",7.34871927818656e-16,0.746929339823626,0.166,0.066,9.40489093222316e-12,"atlas_1h_alh","CG15019"
"Cisd2",7.86229849435778e-16,0.822416627134859,0.19,0.081,1.00621696130791e-11,"atlas_1h_alh","Cisd2"
"Galphao",1.07267662032428e-15,-1.02122560941682,0.152,0.326,1.37281153869101e-11,"atlas_1h_alh","Galphao"
"Rap1",1.17850495203207e-15,0.748143250291537,0.42,0.262,1.50825063761065e-11,"atlas_1h_alh","Rap1"
"Tsf1",1.99031507866386e-15,-1.71569522547053,0,0.115,2.54720523767401e-11,"atlas_1h_alh","Tsf1"
"Ufm1",2.05491122405855e-15,0.856438122248434,0.176,0.074,2.62987538455013e-11,"atlas_1h_alh","Ufm1"
"yps",2.09974320201381e-15,-1.43556599368975,0.024,0.154,2.68725134993728e-11,"atlas_1h_alh","yps"
"Nlp",2.69458908349703e-15,-1.03386635825175,0.127,0.289,3.4485351090595e-11,"atlas_1h_alh","Nlp"
"ND-PDSW",2.9981314984778e-15,0.706878838716209,0.364,0.21,3.83700869175189e-11,"atlas_1h_alh","ND-PDSW"
"CG7781",4.40213239621365e-15,0.683724854706171,0.501,0.343,5.63384904067423e-11,"atlas_1h_alh","CG7781"
"bi",5.02735352711047e-15,-1.16497657000339,0.044,0.185,6.43400704399598e-11,"atlas_1h_alh","bi"
"RR48373-transposable-element",5.87058592581364e-15,-1.50006279078554,0.016,0.14,7.5131758678563e-11,"atlas_1h_alh","RR48373-transposable-element"
"mub",5.88043405794847e-15,-1.33475301493401,0.036,0.17,7.52577950736245e-11,"atlas_1h_alh","mub"
"ND-B14.5B",6.81792773120677e-15,0.812940707422197,0.307,0.171,8.72558391039842e-11,"atlas_1h_alh","ND-B14.5B"
"Bacc",1.06326279150541e-14,0.678830669250627,0.624,0.482,1.36076372056863e-10,"atlas_1h_alh","Bacc"
"CG32066",1.06345105009771e-14,-1.29064090869205,0.026,0.153,1.36100465391505e-10,"atlas_1h_alh","CG32066"
"ND-B22",1.16604171129086e-14,0.726691567117559,0.378,0.229,1.49230018211004e-10,"atlas_1h_alh","ND-B22"
