"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"sip2",0,0.400026000014001,0.155,0.009,0,"33","sip2"
"CG10341",0,0.399772075830757,0.163,0.01,0,"33","CG10341"
"Smyd4-4",0,0.39868948085205,0.165,0.01,0,"33","Smyd4-4"
"CG5112",0,0.39813819185247,0.167,0.011,0,"33","CG5112"
"p47",0,0.398030434457172,0.319,0.041,0,"33","p47"
"Sbat",0,0.397872575697525,0.265,0.028,0,"33","Sbat"
"CG13807",0,0.397643436586033,0.23,0.023,0,"33","CG13807"
"mRpL50",0,0.397640540287389,0.309,0.043,0,"33","mRpL50"
"Klp61F",0,0.397059146870803,0.151,0.01,0,"33","Klp61F"
"Non3",0,0.396235011022646,0.234,0.024,0,"33","Non3"
"LSm1",0,0.396176002067339,0.257,0.031,0,"33","LSm1"
"CCT2.2",0,0.395865914363173,0.386,0.058,0,"33","CCT2"
"Naa20A",0,0.395834424644498,0.259,0.027,0,"33","Naa20A"
"Spase12.1",0,0.395704570060294,0.544,0.109,0,"33","Spase12"
"Mkrn1",0,0.395104264286402,0.25,0.025,0,"33","Mkrn1"
"HP5",0,0.394611434366938,0.276,0.034,0,"33","HP5"
"asp",0,0.394061337558424,0.135,0.007,0,"33","asp"
"Arp6",0,0.393178721697186,0.232,0.023,0,"33","Arp6"
"lncRNA:CR44024",0,0.392817011768284,0.168,0.013,0,"33","lncRNA:CR44024"
"CG11777",0,0.392441895335653,0.187,0.017,0,"33","CG11777"
"Rrp46",0,0.392181926129862,0.184,0.016,0,"33","Rrp46"
"Rrp47",0,0.392049773747541,0.245,0.027,0,"33","Rrp47"
"CG4390",0,0.391666410909678,0.373,0.055,0,"33","CG4390"
"vls",0,0.391001790283288,0.173,0.012,0,"33","vls"
"CG10602",0,0.390697659388101,0.215,0.018,0,"33","CG10602"
"DNApol-alpha180",0,0.389945134006046,0.125,0.006,0,"33","DNApol-alpha180"
"CG14543",0,0.389754418501033,0.273,0.033,0,"33","CG14543"
"PsGEF",0,0.388283620662759,0.235,0.022,0,"33","PsGEF"
"Ars2",0,0.387770387373573,0.385,0.059,0,"33","Ars2"
"Nup54",0,0.387200161060629,0.152,0.008,0,"33","Nup54"
"eIF2gamma",0,0.387183070254326,0.307,0.041,0,"33","eIF2gamma"
"Poc1",0,0.386162131086818,0.119,0.005,0,"33","Poc1"
"CG13373",0,0.385939724057155,0.144,0.008,0,"33","CG13373"
"CG34132.3",0,0.385911363524802,0.609,0.128,0,"33","CG34132"
"mip40",0,0.385785301673478,0.192,0.016,0,"33","mip40"
"CG3704",0,0.385675534831982,0.174,0.014,0,"33","CG3704"
"mnd.18",0,0.385305508340188,0.74,0.17,0,"33","mnd"
"mRpL44",0,0.385115181201455,0.268,0.034,0,"33","mRpL44"
"spoon.2",0,0.385052804416696,0.414,0.065,0,"33","spoon"
"CycH",0,0.384496385603601,0.153,0.011,0,"33","CycH"
"Spx",0,0.384438862258219,0.196,0.018,0,"33","Spx"
"RtcB",0,0.383779578764577,0.228,0.024,0,"33","RtcB"
"Tudor-SN",0,0.38315267396474,0.294,0.037,0,"33","Tudor-SN"
"Snx3",0,0.381228111516774,0.227,0.025,0,"33","Snx3"
"Prp3",0,0.380725839215357,0.178,0.016,0,"33","Prp3"
