"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"D1.1",1.93583938273592e-11,0.146707394677404,0.298,0.17,2.47748724202543e-07,"atlas_24h_alh","D1"
"MtnA.1",2.18354517363284e-11,0.253954298703365,0.806,0.65,2.79450111321531e-07,"atlas_24h_alh","MtnA"
"CG6329.1",2.30091800430918e-11,0.289038866493792,0.223,0.118,2.94471486191489e-07,"atlas_24h_alh","CG6329"
"msi.1",2.43715992255039e-11,0.148133136374372,0.495,0.323,3.11907726887998e-07,"atlas_24h_alh","msi"
"par-1",2.68604581071009e-11,0.219733497791069,0.292,0.168,3.43760142854678e-07,"atlas_24h_alh","par-1"
"CG31221",3.25068579105331e-11,0.523961375905462,0.225,0.124,4.16022767539002e-07,"atlas_24h_alh","CG31221"
"Ggamma30A",5.16788830842507e-11,0.207643331352786,0.28,0.161,6.6138634571224e-07,"atlas_24h_alh","Ggamma30A"
"trol",6.59294577426295e-11,0.26403906332553,0.331,0.205,8.43765200190173e-07,"atlas_24h_alh","trol"
"puc.1",6.78261474921753e-11,0.164396092970678,0.302,0.179,8.68039035604859e-07,"atlas_24h_alh","puc"
"RpL18",7.8099054842052e-11,0.205050400928998,0.858,0.663,9.99511703868582e-07,"atlas_24h_alh","RpL18"
"jim.1",7.85153289192566e-11,0.223659429103421,0.487,0.32,1.00483917950865e-06,"atlas_24h_alh","jim"
"mask.1",9.14717479846152e-11,0.111426502975765,0.234,0.126,1.17065543070711e-06,"atlas_24h_alh","mask"
"IA-2.1",1.09503212558065e-10,0.367913453983796,0.35,0.218,1.40142211431811e-06,"atlas_24h_alh","IA-2"
"shi",1.25344472528887e-10,0.199160059477476,0.262,0.147,1.6041585594247e-06,"atlas_24h_alh","shi"
"Act5C.1",1.7600547898444e-10,-0.488221590723543,0.801,0.69,2.25251812004286e-06,"atlas_24h_alh","Act5C"
"Hsp23.1",2.20498111600019e-10,0.124515317199554,0.25,0.139,2.82193483225705e-06,"atlas_24h_alh","Hsp23"
"RpS3",2.21932771193921e-10,0.196084774051513,0.783,0.571,2.84029560573979e-06,"atlas_24h_alh","RpS3"
"CG13751.1",4.99288066190754e-10,0.13743530861659,0.432,0.279,6.38988867110927e-06,"atlas_24h_alh","CG13751"
"Pgi",7.71194697865769e-10,0.215205952960618,0.439,0.289,9.86974974328611e-06,"atlas_24h_alh","Pgi"
"AGO1",8.23077781780107e-10,0.117904461563468,0.286,0.17,1.05337494512218e-05,"atlas_24h_alh","AGO1"
"RpS16",8.4801490433833e-10,0.199001187182485,0.85,0.646,1.08528947457219e-05,"atlas_24h_alh","RpS16"
"Cp110.1",1.48782878699948e-09,0.197989355538216,0.271,0.163,1.90412328160194e-05,"atlas_24h_alh","Cp110"
"atl.1",1.52576609778886e-09,0.189670356700274,0.246,0.143,1.95267545195018e-05,"atlas_24h_alh","atl"
"Prosbeta5.1",1.93896190422144e-09,0.130253157505764,0.331,0.206,2.48148344502261e-05,"atlas_24h_alh","Prosbeta5"
"beat-IIIc",2.63450737944555e-09,0.173646707609252,0.237,0.135,3.37164254421441e-05,"atlas_24h_alh","beat-IIIc"
"Tm1",4.11736129604351e-09,0.135410887511683,0.508,0.346,5.26939898667648e-05,"atlas_24h_alh","Tm1"
"RpL13A",5.01752910857295e-09,-0.359618064994259,0.899,0.784,6.42143375315166e-05,"atlas_24h_alh","RpL13A"
"nkd",6.77919035651471e-09,0.133616776072769,0.28,0.171,8.67600781826752e-05,"atlas_24h_alh","nkd"
"CG12065.1",8.04606367753364e-09,0.166006339805159,0.246,0.146,0.000102973522945076,"atlas_24h_alh","CG12065"
"RpS18",8.13599654181495e-09,0.174207166504846,0.868,0.698,0.000104124483742148,"atlas_24h_alh","RpS18"
"fok",1.0090636549457e-08,0.14658821197736,0.278,0.172,0.00012913996655995,"atlas_24h_alh","fok"
"bic",1.98693673762318e-08,0.152752946735458,0.547,0.372,0.000254288163681015,"atlas_24h_alh","bic"
"RpS30",2.24950556003247e-08,0.18626110101242,0.863,0.685,0.000287891721572956,"atlas_24h_alh","RpS30"
"RpL12",7.12445652694184e-08,0.15080121905372,0.874,0.691,0.000911787946318017,"atlas_24h_alh","RpL12"
"RpL17",1.00245065842452e-07,0.144727308368781,0.888,0.704,0.00128293635265169,"atlas_24h_alh","RpL17"
"futsch",1.93172039011428e-07,0.132849699122124,0.28,0.18,0.00247221575526826,"atlas_24h_alh","futsch"
"CNBP.1",4.52187035956462e-07,0.127661688604054,0.78,0.59,0.0057870896861708,"atlas_24h_alh","CNBP"
"RpS23",4.85169135301126e-07,0.150016050086513,0.847,0.655,0.00620919459358381,"atlas_24h_alh","RpS23"
"ATPsynD.1",7.94789962265673e-07,0.106818338595533,0.623,0.433,0.0101717219370761,"atlas_24h_alh","ATPsynD"
"RpL36A",1.23825264285902e-06,0.149500929780277,0.9,0.753,0.0158471573233097,"atlas_24h_alh","RpL36A"
"RpS27A",1.95964328044572e-06,0.106729030600832,0.94,0.812,0.0250795147031443,"atlas_24h_alh","RpS27A"
"RpS2",5.47215709002176e-05,-0.296447979640271,0.87,0.759,0.700326664380984,"atlas_24h_alh","RpS2"
"RpS20",6.72338913257576e-05,-0.174208360798428,0.921,0.814,0.860459341187046,"atlas_24h_alh","RpS20"
"RpL23",0.000154233106506955,0.107402587303728,0.946,0.82,1,"atlas_24h_alh","RpL23"
"lncRNA:Hsromega",0.000234616413896365,-0.14367604446473,0.483,0.355,1,"atlas_24h_alh","lncRNA:Hsromega"
"RpS3A",0.000246911829400243,-0.304648052104202,0.851,0.721,1,"atlas_24h_alh","RpS3A"
"Syp.1",0.000254977992399081,-0.129042334979055,0.48,0.335,1,"atlas_24h_alh","Syp"
"Obp99a",0.000286418048556482,-0.132232446221325,0.448,0.33,1,"atlas_24h_alh","Obp99a"
"UQCR-6.4.1",0.000556012321787145,-0.205150096197255,0.662,0.465,1,"atlas_24h_alh","UQCR-6.4"
"CG13364.1",0.000708455101152664,-0.188833468235562,0.411,0.299,1,"atlas_24h_alh","CG13364"
"ox.1",0.00132560113468826,-0.198886931539477,0.728,0.513,1,"atlas_24h_alh","ox"
"cype.1",0.00402196607136782,-0.480991634837005,0.791,0.665,1,"atlas_24h_alh","cype"
"eEF1gamma.1",0.00625275574465869,-0.151985409079093,0.464,0.349,1,"atlas_24h_alh","eEF1gamma"
"Tctp",0.0111582637970625,-0.120492389763526,0.446,0.341,1,"atlas_24h_alh","Tctp"
"sqd.1",0.025982404886821,-0.162226412089232,0.552,0.421,1,"atlas_24h_alh","sqd"
"RpL37a",0.0261025800421003,-0.160434496181799,0.893,0.782,1,"atlas_24h_alh","RpL37a"
"Akap200.1",0.0273182769026893,-0.192517542151656,0.466,0.348,1,"atlas_24h_alh","Akap200"
"14-3-3epsilon",0.0344727315113828,-0.119290482301857,0.701,0.529,1,"atlas_24h_alh","14-3-3epsilon"
"path",0.0382177308531911,-0.316475866802614,0.564,0.44,1,"atlas_24h_alh","path"
"His3.3B.2",3.95950647407779e-123,-1.30008542532293,0.375,0.824,5.06737638552476e-119,"atlas_48h_alh","His3.3B"
"pAbp.1",6.31097113291528e-87,-0.687210920793367,0.825,0.98,8.07678085590498e-83,"atlas_48h_alh","pAbp"
"Ldh.2",5.46488911636445e-82,-1.03754233052214,0.375,0.79,6.99396509112322e-78,"atlas_48h_alh","Ldh"
"for.1",3.40225871049124e-77,-0.965986173290749,0.261,0.669,4.35421069768669e-73,"atlas_48h_alh","for"
"mt:tRNA:Ser-GCT.2",1.09605020422959e-73,-1.10829194135359,0.175,0.571,1.40272505137303e-69,"atlas_48h_alh","mt:tRNA:Ser-GCT"
"lncRNA:roX2.1",8.24801757779321e-69,2.30009105439881,0.244,0.05,1.05558128960598e-64,"atlas_48h_alh","lncRNA:roX2"
"Drat.1",1.53928552656026e-62,-1.03001677435255,0.402,0.758,1.96997761689182e-58,"atlas_48h_alh","Drat"
"Fas2.2",3.36923648979497e-62,-0.814874249633105,0.554,0.888,4.31194885963961e-58,"atlas_48h_alh","Fas2"
"betaTub56D.2",7.2986559011433e-62,-0.583867958098035,0.852,0.965,9.34081982228319e-58,"atlas_48h_alh","betaTub56D"
"Toll-7.2",1.98543123693793e-60,-1.19030255518583,0.13,0.447,2.54095489703317e-56,"atlas_48h_alh","Toll-7"
"Hsp27.2",6.53493474484431e-60,-0.908401990804039,0.46,0.763,8.36340948645175e-56,"atlas_48h_alh","Hsp27"
"Rbfox1.1",8.30805358668994e-59,-0.626635319359323,0.642,0.922,1.06326469802458e-54,"atlas_48h_alh","Rbfox1"
"smt3.2",6.0122295213887e-58,-0.678586213806598,0.664,0.912,7.69445134147326e-54,"atlas_48h_alh","smt3"
"sgg.2",1.37736314786315e-56,-0.942878182461208,0.253,0.597,1.76274935663526e-52,"atlas_48h_alh","sgg"
"lncRNA:CR40469.2",2.92971085095829e-56,-0.720875020158431,0.55,0.86,3.74944394705641e-52,"atlas_48h_alh","lncRNA:CR40469"
"RpL29.1",1.4399043544893e-55,-0.432890424247041,0.876,0.995,1.8427895928754e-51,"atlas_48h_alh","RpL29"
"cib.2",6.51659796534461e-52,-0.691478817832335,0.689,0.891,8.33994207604804e-48,"atlas_48h_alh","cib"
"mt:tRNA:Arg-TCG.2",1.00685836469918e-47,-0.975821836855619,0.117,0.393,1.28857733514201e-43,"atlas_48h_alh","mt:tRNA:Arg-TCG"
