"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Atxn7",7.76942034922093e-17,0.175501998736002,0.313,0.297,1.55388406984419e-13
"RpS4",1.36172721093558e-16,-0.177607292190181,0.978,0.982,2.72345442187115e-13
"Lsd-2",1.51796131755626e-16,-0.349072538328768,0.486,0.588,3.03592263511251e-13
"sca",1.91260214630529e-16,-0.105663877884216,0.213,0.185,3.82520429261059e-13
"Diap2",2.3958941662609e-16,0.112489755773625,0.354,0.321,4.79178833252181e-13
"RpS15",2.64651450581406e-16,-0.163641371505422,0.975,0.98,5.29302901162813e-13
"Dscam2",2.68630313441351e-16,0.372097246939837,0.339,0.276,5.37260626882702e-13
"mt:tRNA:Ser-GCT",2.92987150898611e-16,-0.41346881271987,0.588,0.681,5.85974301797221e-13
"CG4570",4.03995192916272e-16,0.522025080682153,0.243,0.185,8.07990385832545e-13
"FBti0102119",4.63856701916378e-16,0.112335195709786,0.221,0.349,9.27713403832756e-13
"RpL23A",7.34873184974685e-16,-0.35187646444162,0.882,0.915,1.46974636994937e-12
"peng",8.14916413811739e-16,-0.121486438717947,0.293,0.364,1.62983282762348e-12
"ogre",8.14964738681793e-16,-0.3779824347238,0.608,0.697,1.62992947736359e-12
