"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"hpRNA:CR33940",0.319415639599664,0.138989928818688,0.156,0.111,1
"CG2865",0.319763991612505,-0.604555033287201,0.282,0.252,1
"cpx",0.319785292365221,-0.331597534738183,0.309,0.27,1
"sky",0.322697737298096,-0.149845620568354,0.22,0.164,1
"Octbeta1R",0.342809660720324,-0.160325192197563,0.263,0.211,1
"CG14075",0.349293075251587,0.116347134896644,0.208,0.162,1
"5-HT1A",0.35906378677009,-0.137923236774418,0.226,0.182,1
"Swip-1",0.366138721626428,-0.199627662605749,0.292,0.246,1
"nolo",0.371240526843498,-0.265966423393479,0.178,0.132,1
"RpL14",0.373485921802736,0.151825832589586,0.898,0.818,1
"CG4467",0.378545487865282,-0.695706409132821,0.204,0.158,1
"Atx2",0.383681761976237,-0.131289279118092,0.285,0.236,1
"HipHop",0.388359674147765,0.234042308991697,0.197,0.138,1
"SK",0.401052124908489,0.11490211246466,0.27,0.21,1
"beat-Ia",0.408721580073822,-0.462844694105925,0.2,0.162,1
"BthD",0.423104223267122,0.270277025341325,0.181,0.132,1
"toy",0.426738100749391,0.122850637341757,0.175,0.121,1
"hth",0.443429925774361,-0.426793386662487,0.491,0.45,1
"salm",0.449671300548601,-0.966795422390379,0.319,0.281,1
"FBXO11",0.463675560382799,-0.177631117609899,0.215,0.16,1
"Dh31",0.465775146202932,-0.137360777704045,0.176,0.133,1
"jeb",0.469151178852834,-0.115269778097631,0.297,0.242,1
"euc",0.486273736045494,-0.388925666065577,0.166,0.115,1
"dpr13",0.498755034910259,-0.325593439269981,0.229,0.191,1
"CG3847",0.517421686382338,0.222311541203599,0.166,0.116,1
"CG5535",0.536479716088265,0.148214171050486,0.196,0.149,1
"oc",0.567834776675527,0.640048426725027,0.213,0.159,1
"Glo1",0.586899014580934,0.416982870572999,0.148,0.091,1
"CG8289",0.591102481530489,0.203608211562002,0.237,0.175,1
"jus",0.595661372131749,-0.111327485576092,0.216,0.162,1
"Acbp2",0.613218708551486,-0.672150896535813,0.27,0.234,1
"rost",0.615064301573292,0.134605479097681,0.19,0.126,1
"B-H1",0.621460363597767,-0.176455473586737,0.252,0.199,1
"br",0.631142723795144,-0.539572097125061,0.244,0.197,1
"pros",0.649344314838653,-0.409462734080281,0.301,0.246,1
"betaggt-II",0.661476709980981,-0.130828036302909,0.219,0.187,1
"RpS30",0.703171805899452,0.178631627537435,0.862,0.797,1
"Dsk",0.731132383758389,0.111864041127594,0.125,0.08,1
"Cbp53E",0.743615211400876,-0.106926208708196,0.283,0.232,1
"Wnt4",0.750487686613816,-0.352396499197475,0.35,0.302,1
"Trim9",0.784904113868869,-0.595408569843241,0.379,0.326,1
"l(2)k01209",0.789713210911963,0.140866342053715,0.224,0.173,1
"CG17646",0.811729543893488,0.175782509081437,0.166,0.111,1
"mtt",0.830424816961037,-0.128256754727112,0.207,0.146,1
"CG30172",0.833245517608663,-0.603950386786354,0.276,0.243,1
"Ank2",0.857874427682028,-0.93403027244423,0.361,0.318,1
"apolpp",0.859363150020534,-0.174838113510649,0.223,0.179,1
"GCS2beta",0.868887652943458,0.316301717115044,0.245,0.188,1
"CG8223",0.872022396456083,0.789954964746976,0.216,0.154,1
"Lim3",0.875332648586322,-0.296980768872941,0.197,0.151,1
"CG10361",0.878857842302675,-0.206546970447859,0.18,0.14,1
"lncRNA:CR46004",0.896787613072004,-0.126457537144518,0.116,0.071,1
"vvl",0.902086097775948,-0.541763286896617,0.425,0.369,1
"E(spl)m7-HLH",0.908266463214049,-0.507242950289123,0.386,0.342,1
"Ubx",0.929058726203785,-0.749691058402151,0.201,0.164,1
"slp2",0.939053295109176,0.221123207219575,0.159,0.094,1
"RpS24",0.95340415980564,-0.155308628747563,0.8,0.701,1
"CG30116",0.960111837012805,0.242277813153601,0.259,0.207,1
"arm",0.971392672711592,-0.305746497744798,0.193,0.147,1
