"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"alphaTub84B",2.48146194194334e-12,-0.943333934984588,0.65,0.867,3.17577499329909e-08,"atlas_1h_alh","alphaTub84B"
"mRpL34",4.4109237856891e-12,1.41088745605295,0.443,0.172,5.64510026092491e-08,"atlas_1h_alh","mRpL34"
"tsr",4.60593695526106e-12,-1.03843844339674,0.436,0.744,5.8946781153431e-08,"atlas_1h_alh","tsr"
"RNASEK",5.90241308487111e-12,1.10241994678264,0.686,0.423,7.55390826601804e-08,"atlas_1h_alh","RNASEK"
"Drep2",6.7090035310874e-12,1.38589682862543,0.336,0.096,8.58618271908566e-08,"atlas_1h_alh","Drep2"
"CG17127",1.65956732843514e-11,2.2399217467171,0.171,0.021,2.1239142669313e-07,"atlas_1h_alh","CG17127"
"COX6B",2.00375803115704e-11,1.00744579910435,0.75,0.568,2.56440952827479e-07,"atlas_1h_alh","COX6B"
"RpL3",2.19246287440699e-11,-0.870940291906912,0.493,0.744,2.80591398666607e-07,"atlas_1h_alh","RpL3"
"CG5773",2.31364036837625e-11,1.6591185863573,0.1,0,2.96099694344793e-07,"atlas_1h_alh","CG5773"
"Tsp42Ej",2.52402187764991e-11,1.43603022940269,0.136,0.009,3.23024319901635e-07,"atlas_1h_alh","Tsp42Ej"
"emb",2.5334744389388e-11,-1.8987849944295,0.079,0.371,3.24234058695387e-07,"atlas_1h_alh","emb"
"Snap29",2.59200343583419e-11,1.44216258862128,0.314,0.094,3.31724599718059e-07,"atlas_1h_alh","Snap29"
"CG13255",2.87745688755736e-11,1.34556136052583,0.143,0.011,3.6825693246959e-07,"atlas_1h_alh","CG13255"
"Gabat",3.18053384456259e-11,-1.434122758739,0.371,0.616,4.0704472142712e-07,"atlas_1h_alh","Gabat"
"GstS1",3.74445447157197e-11,-1.53315512535919,0.207,0.522,4.7921528327178e-07,"atlas_1h_alh","GstS1"
"CAH2",3.99200702635153e-11,1.76691259248896,0.236,0.048,5.10897059232468e-07,"atlas_1h_alh","CAH2"
"brat",4.44645790291161e-11,-2.22355083462694,0.029,0.295,5.69057682414628e-07,"atlas_1h_alh","brat"
"smt3",5.93054734367585e-11,-1.32842850256281,0.457,0.68,7.58991449043636e-07,"atlas_1h_alh","smt3"
"CG42342",7.09112220944895e-11,1.29486617351607,0.407,0.153,9.07521820365276e-07,"atlas_1h_alh","CG42342"
"ND-B14.5A",9.13775477293427e-11,1.08536264708977,0.493,0.227,1.16944985584013e-06,"atlas_1h_alh","ND-B14.5A"
"lncRNA:CR43334",9.19712511124726e-11,1.5004407976287,0.314,0.096,1.17704807173742e-06,"atlas_1h_alh","lncRNA:CR43334"
"Hrb87F",9.89334414304689e-11,-1.9922072027363,0.036,0.3,1.26615018342714e-06,"atlas_1h_alh","Hrb87F"
"cathD",1.03349588456458e-10,-2.0175684482026,0.05,0.318,1.32266803306575e-06,"atlas_1h_alh","cathD"
"ATPsynCF6",1.31799018093435e-10,1.08533616243213,0.664,0.449,1.68676383355978e-06,"atlas_1h_alh","ATPsynCF6"
"CG12171",1.39761109741756e-10,1.31212055873517,0.443,0.185,1.78866268247499e-06,"atlas_1h_alh","CG12171"
"Ald1",1.56567379293256e-10,0.927652243842913,0.864,0.744,2.00374932019509e-06,"atlas_1h_alh","Ald1"
"Ance",1.72818171990776e-10,1.63262708701827,0.486,0.238,2.21172696513795e-06,"atlas_1h_alh","Ance"
"CG34117",1.90518766120791e-10,1.56012414289046,0.286,0.085,2.43825916881388e-06,"atlas_1h_alh","CG34117"
"pre-rRNA:CR45845",2.23976945264782e-10,-2.39190176994184,0.021,0.272,2.86645694549868e-06,"atlas_1h_alh","pre-rRNA:CR45845"
"Hsc70Cb",2.57989152723333e-10,-1.7184595377225,0.136,0.412,3.30174517655321e-06,"atlas_1h_alh","Hsc70Cb"
"CG13252",2.6819086679328e-10,-2.03721382973343,0.086,0.357,3.4323067132204e-06,"atlas_1h_alh","CG13252"
"SoxN",3.52013074935766e-10,-2.11528977207504,0.05,0.309,4.50506333302793e-06,"atlas_1h_alh","SoxN"
"RFeSP",3.84734693914463e-10,1.39911585932366,0.564,0.325,4.9238346127173e-06,"atlas_1h_alh","RFeSP"
"Cbp53E",3.92386904068356e-10,2.42937083752459,0.386,0.156,5.02176759826682e-06,"atlas_1h_alh","Cbp53E"
"ND-B12",4.55273205202474e-10,1.19374191530056,0.586,0.348,5.82658648018127e-06,"atlas_1h_alh","ND-B12"
"CG5758",4.5980831053694e-10,-1.81889755508238,0.107,0.38,5.88462675825176e-06,"atlas_1h_alh","CG5758"
"eEF1gamma",4.828297709183e-10,-1.74695174366922,0.157,0.423,6.1792554082124e-06,"atlas_1h_alh","eEF1gamma"
"CG17778",6.77729120823295e-10,1.33776088923337,0.121,0.009,8.67357728829653e-06,"atlas_1h_alh","CG17778"
"l(3)87Df",6.78600460138866e-10,1.01967266309163,0.179,0.03,8.6847286888572e-06,"atlas_1h_alh","l(3)87Df"
"sif",7.03216306360031e-10,1.7680975919428,0.271,0.078,8.99976228879568e-06,"atlas_1h_alh","sif"
"hdc",8.15115712853707e-10,-1.22549343623528,0.264,0.558,1.04318508931017e-05,"atlas_1h_alh","hdc"
"ND-B14.5B",8.44207705211281e-10,1.16862409878408,0.507,0.261,1.0804170211294e-05,"atlas_1h_alh","ND-B14.5B"
"Rpb10",1.28897663158391e-09,1.11483272969806,0.371,0.14,1.64963229310109e-05,"atlas_1h_alh","Rpb10"
"ND-PDSW",1.7415276779909e-09,1.12190823699205,0.543,0.3,2.22880712229275e-05,"atlas_1h_alh","ND-PDSW"
"SpdS",1.76213784590174e-09,1.1619286689268,0.2,0.041,2.25518401518505e-05,"atlas_1h_alh","SpdS"
"Fas2",1.90669042204906e-09,0.630229397574554,0.864,0.705,2.44018240213839e-05,"atlas_1h_alh","Fas2"
"Hsp83",2.01915817951301e-09,-1.55683313754286,0.064,0.325,2.58411863814075e-05,"atlas_1h_alh","Hsp83"
"CG14312",2.25842605856851e-09,1.38699035389831,0.171,0.03,2.89033366975598e-05,"atlas_1h_alh","CG14312"
"ATPsynD",2.62807022822985e-09,0.94432828920584,0.771,0.648,3.36340427808857e-05,"atlas_1h_alh","ATPsynD"
"Gdi",2.90037789360735e-09,-1.61588147231721,0.1,0.355,3.71190362823869e-05,"atlas_1h_alh","Gdi"
"jim",3.29656338781902e-09,-2.1783102041641,0.136,0.391,4.21894182373078e-05,"atlas_1h_alh","jim"
"CG14210",3.34288661084139e-09,0.94180933089183,0.25,0.066,4.27822628455481e-05,"atlas_1h_alh","CG14210"
"VhaM9.7-a",3.60843701887519e-09,1.10419230219783,0.171,0.03,4.61807769675647e-05,"atlas_1h_alh","VhaM9.7-a"
"GstD1",3.76277619284018e-09,-1.71504673379627,0.2,0.455,4.81560097159687e-05,"atlas_1h_alh","GstD1"
"RpII18",3.96337315382341e-09,1.09773171678855,0.371,0.146,5.0723249622632e-05,"atlas_1h_alh","RpII18"
"Hsc70-3",5.07283428230285e-09,-2.00999137462972,0.036,0.259,6.49221331449119e-05,"atlas_1h_alh","Hsc70-3"
"mRpS14",5.13693162236922e-09,1.33634901019733,0.35,0.135,6.57424509030813e-05,"atlas_1h_alh","mRpS14"
"GstE7",7.32668459339263e-09,1.33155030096503,0.136,0.018,9.37669094262389e-05,"atlas_1h_alh","GstE7"
"ND-B17.2",7.7487032568585e-09,1.07921772875582,0.507,0.27,9.91679042812751e-05,"atlas_1h_alh","ND-B17.2"
"Tsf1",7.75241439425967e-09,-2.51004064343009,0,0.204,9.92153994177353e-05,"atlas_1h_alh","Tsf1"
